,dataset,fold,ta_name,metric_error,metric_error_val,time_train_s,time_infer_s,method_subtype,n_samples_train_per_fold,n_features
79,Another-Dataset-on-used-Fiat-500,0,PrepTabM,683.296142578125,742.353271484375,2444.140734910965,2.0439858436584477,tuned,1026,7
80,Another-Dataset-on-used-Fiat-500,0,PrepTabM,692.43359375,726.4840698242188,2444.140734910965,16.880271911621094,tuned_ensemble,1026,7
81,maternal_health_risk,2,PrepTabM,0.4035035816316896,0.4358514691741023,59.95191693305969,2.963102102279663,default,676,6
82,maternal_health_risk,2,PrepTabM,0.4035035967826843,0.435851514339447,3888.5756001472473,2.963102102279663,tuned,676,6
83,maternal_health_risk,2,PrepTabM,0.4038754105567932,0.4261404573917389,3888.5756001472473,17.317994356155396,tuned_ensemble,676,6
84,maternal_health_risk,1,PrepTabM,0.3682361881465666,0.4146468780902061,60.22194957733154,3.0518596172332764,default,676,6
85,maternal_health_risk,1,PrepTabM,0.3687826097011566,0.4115402996540069,3951.656707763672,3.0621426105499268,tuned,676,6
86,maternal_health_risk,1,PrepTabM,0.366068422794342,0.4047775864601135,3951.656707763672,21.280215740203857,tuned_ensemble,676,6
87,maternal_health_risk,0,PrepTabM,0.380577818126344,0.4083944239391472,53.40799021720886,3.5237722396850586,default,676,6
88,maternal_health_risk,0,PrepTabM,0.3812750577926636,0.4050950407981872,3781.3623044490814,3.790579080581665,tuned,676,6
89,maternal_health_risk,0,PrepTabM,0.3746805489063263,0.3945546448230743,3781.3623044490814,14.019733905792236,tuned_ensemble,676,6
90,E-CommereShippingData,2,PrepTabM,0.2508745358351782,0.2554248385914128,438.5953736305237,8.31297516822815,default,7333,10
91,E-CommereShippingData,2,PrepTabM,0.2480967348704141,0.2508568890229795,27343.52451634407,9.755542278289797,tuned,7333,10
92,E-CommereShippingData,2,PrepTabM,0.2494106640969302,0.245239119024111,27343.52451634407,130.3256163597107,tuned_ensemble,7333,10
93,E-CommereShippingData,1,PrepTabM,0.2630520331096175,0.2527886023374867,365.66335582733154,8.437990427017212,default,7333,10
94,E-CommereShippingData,1,PrepTabM,0.2563053053560694,0.2466957983193277,24363.60808157921,10.03063154220581,tuned,7333,10
95,E-CommereShippingData,1,PrepTabM,0.2568189323978992,0.2430292282430213,24363.60808157921,63.8844780921936,tuned_ensemble,7333,10
96,E-CommereShippingData,0,PrepTabM,0.2584603090432416,0.2481474853857674,349.14172410964966,8.351826906204224,default,7333,10
97,E-CommereShippingData,0,PrepTabM,0.2592649932695766,0.2446789506739456,24238.814561843872,11.428927659988403,tuned,7333,10
98,E-CommereShippingData,0,PrepTabM,0.2597924878833838,0.2414649596598869,24238.814561843872,78.38565587997437,tuned_ensemble,7333,10
99,heloc,2,PrepTabM,0.2072970396949989,0.2024965987841179,846.2952356338501,16.339354753494263,default,6973,23
100,heloc,2,PrepTabM,0.2052601809954751,0.2001304603053009,40120.69479727745,10.458423852920532,tuned,6973,23
101,heloc,2,PrepTabM,0.2054727385459678,0.1995458286743311,40120.69479727745,108.98910212516785,tuned_ensemble,6973,23
102,heloc,1,PrepTabM,0.1962534376027489,0.2058466698318183,850.2487542629242,16.270363807678223,default,6973,23
103,heloc,1,PrepTabM,0.194478201665879,0.2031297085752531,40609.27099585533,10.456422567367554,tuned,6973,23
104,heloc,1,PrepTabM,0.195291123193723,0.2024375377098149,40609.27099585533,89.03111457824707,tuned_ensemble,6973,23
105,heloc,0,PrepTabM,0.202140451030673,0.2035375837666206,847.7947156429291,16.507503509521484,default,6973,23
106,heloc,0,PrepTabM,0.2025114207927645,0.2005845267131825,41099.02639889717,10.272359371185305,tuned,6973,23
107,heloc,0,PrepTabM,0.2021846180214506,0.2002249276865032,41099.02639889717,55.63816356658936,tuned_ensemble,6973,23
108,coil2000_insurance_policies,2,PrepTabM,0.2494496824070757,0.2645976465885526,784.4773950576782,15.92918610572815,default,6548,85
109,coil2000_insurance_policies,2,PrepTabM,0.2501127156515628,0.2615819738343284,52006.52161622048,15.581291437149048,tuned,6548,85
110,coil2000_insurance_policies,2,PrepTabM,0.2457300659055045,0.2538407408332709,52006.52161622048,234.74003529548645,tuned_ensemble,6548,85
111,coil2000_insurance_policies,1,PrepTabM,0.2505675335814992,0.2671259336367605,762.9085988998413,15.737338542938232,default,6548,85
112,coil2000_insurance_policies,1,PrepTabM,0.2497081136899259,0.2644043105657711,52257.04145908356,13.013044357299805,tuned,6548,85
